account,traditional_category
a06066,backward_only
a13368,forward_only
a05281,isolated
a20468,isolated
a11717,isolated
a08818,isolated
a29737,both_directions
a28005,isolated
a16184,isolated
a16542,isolated
a28018,backward_only
a20308,backward_only
a03918,backward_only
a00138,isolated
a19500,isolated
a14388,backward_only
a08835,both_directions
a14349,isolated
a04633,isolated
a11505,backward_only
a29734,isolated
a13606,forward_only
a10344,both_directions
a29041,backward_only
a26030,both_directions
a12261,isolated
a14478,isolated
a17836,both_directions
a17023,isolated
a00609,backward_only
a16957,isolated
a27433,backward_only
a14320,isolated
a25464,isolated
a30106,isolated
a22725,isolated
a23443,forward_only
a21808,isolated
a30994,forward_only
a01195,backward_only
a11863,both_directions
a20678,isolated
a24769,forward_only
a27703,isolated
a05396,both_directions
a27094,forward_only
a09322,isolated
a24456,both_directions
a28745,isolated
a00320,both_directions
a05781,isolated
a21952,backward_only
a02034,both_directions
a26901,forward_only
a12131,backward_only
a19811,forward_only
a15997,isolated
a23699,isolated
a07219,isolated
a06516,forward_only
a11498,isolated
a23059,backward_only
a13679,backward_only
a14497,isolated
a02905,isolated
a29560,isolated
a22430,isolated
a04858,isolated
a03236,both_directions
a28695,isolated
a26851,backward_only
a21594,isolated
a05010,backward_only
a12790,isolated
a02890,isolated
a10870,backward_only
a14177,isolated
a15449,isolated
a11764,backward_only
a20673,both_directions
a28818,both_directions
a01719,backward_only
a27579,backward_only
a29925,isolated
a10810,forward_only
a13217,isolated
a26298,backward_only
a09061,isolated
a01326,backward_only
a08462,isolated
a29064,both_directions
a23903,isolated
a25141,isolated
a00227,isolated
a12400,forward_only
a24165,backward_only
a08811,forward_only
a28430,isolated
a01100,isolated
a20449,isolated
a12629,forward_only
a09178,isolated
a19555,isolated
a21815,isolated
a20884,isolated
a00407,isolated
a10840,isolated
a19249,isolated
a27686,isolated
a16535,isolated
a26590,backward_only
a01733,backward_only
a22083,backward_only
a23647,backward_only
a14717,backward_only
a07755,backward_only
a24379,isolated
a28528,isolated
a24725,isolated
a28114,backward_only
a26648,both_directions
a07081,isolated
a24521,forward_only
a16678,both_directions
a09847,isolated
a15962,isolated
a25989,backward_only
a08966,isolated
a26237,forward_only
a29557,forward_only
a04901,isolated
a15479,both_directions
a26205,backward_only
a20187,backward_only
a22849,isolated
a04815,isolated
a00283,backward_only
a05934,isolated
a19204,backward_only
a29750,isolated
a11255,isolated
a29703,isolated
a00101,isolated
a27292,both_directions
a09048,isolated
a31355,both_directions
a21843,forward_only
a14113,isolated
a08142,isolated
a05587,both_directions
a04199,backward_only
a02265,isolated
a02089,isolated
a02122,isolated
a17131,isolated
a15922,isolated
a11489,isolated
a02966,forward_only
a08560,both_directions
a03636,isolated
a16924,forward_only
a06456,isolated
a30171,forward_only
a11745,isolated
a25275,backward_only
a05776,both_directions
a20954,isolated
a10658,isolated
a02376,isolated
a25095,isolated
a20083,isolated
a00789,isolated
a13025,backward_only
a13408,backward_only
a21630,both_directions
a04592,backward_only
a02672,isolated
a20287,isolated
a19891,forward_only
a18017,isolated
a27309,isolated
a02311,isolated
a12273,isolated
a20983,backward_only
a27383,both_directions
a01639,isolated
a08840,backward_only
a01125,isolated
a17091,isolated
a14682,isolated
a05275,isolated
a04393,forward_only
a11222,isolated
a29308,isolated
a04311,isolated
a21921,isolated
a15914,isolated
a10038,isolated
a14676,both_directions
a26411,isolated
a27430,isolated
a13276,isolated
a28562,forward_only
a31303,backward_only
a01802,backward_only
a18258,isolated
a04090,isolated
a06620,isolated
a06828,forward_only
a18251,forward_only
a16096,backward_only
a06822,isolated
a13387,isolated
a16222,isolated
a18735,both_directions
a10124,backward_only
a25178,isolated
a21907,isolated
a20201,both_directions
a06748,backward_only
a16872,isolated
a24413,forward_only
a09243,isolated
a26393,backward_only
a04031,isolated
a06242,isolated
a27145,isolated
a29118,forward_only
a25630,backward_only
a23641,backward_only
a27588,both_directions
a19589,both_directions
a19342,forward_only
a16244,both_directions
a31352,isolated
a10961,forward_only
a12055,backward_only
a13012,isolated
a15689,backward_only
a17731,both_directions
a10896,isolated
a19805,backward_only
a04044,isolated
a22854,isolated
a13306,forward_only
a19079,isolated
a29698,isolated
a28175,isolated
a13731,forward_only
a19268,backward_only
a18376,both_directions
a18042,isolated
a11616,isolated
a14330,both_directions
a17087,forward_only
a14439,both_directions
a03974,both_directions
a25932,backward_only
a13436,isolated
a01561,isolated
a29017,both_directions
a24717,forward_only
a06760,isolated
a26493,forward_only
a19449,isolated
a15234,isolated
a30918,forward_only
a08846,isolated
a02328,isolated
a26869,isolated
a07975,isolated
a02650,backward_only
a08666,forward_only
a07523,backward_only
a15204,backward_only
a04737,isolated
a24907,both_directions
a15913,backward_only
a15137,isolated
a03535,backward_only
a00376,isolated
a27024,both_directions
a21144,isolated
a27150,both_directions
a02366,isolated
a17883,isolated
a12167,isolated
a00992,isolated
a26011,isolated
a02160,backward_only
a10451,isolated
a05021,both_directions
a12302,backward_only
a06723,isolated
a21742,backward_only
a12466,backward_only
a20246,isolated
a09202,backward_only
a12833,both_directions
a00104,backward_only
a07600,both_directions
a18104,isolated
a12453,isolated
a24933,forward_only
a10690,forward_only
a10209,backward_only
a16850,isolated
a28038,isolated
a22256,forward_only
a28475,isolated
a10682,both_directions
a23545,isolated
a05027,isolated
a07064,forward_only
a15645,forward_only
a07961,backward_only
a24985,both_directions
a16871,backward_only
a10847,forward_only
a19979,isolated
a16646,both_directions
a18207,isolated
a07972,isolated
